School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1,Data As Of
WILLIAM C. BRYANT HS - QUEENS,Q,30,TCU REMOVAL & PLAYGROUND REDEVELOPMENT,"2,499,000",CIP,Q445,48-10 31 AVENUE,Queens,11103,QUEENS   ,40.75823,-73.910514,1,26,163,4013655,4007380002,Astoria                                                                    ,"(40.75823, -73.910514)",
P.S. 19 - QUEENS,Q,24,Addition,"95,491,911",CAP,Q019,98-02 ROOSEVELT AVENUE,Queens,11368,QUEENS   ,40.749381,-73.867354,4,21,409,4437176,4016070001,North Corona                                                               ,"(40.749381, -73.867354)",
WIILIAMSBURG PREP- BROOKLYN,K,14,ROOFS/WINDOWS/PARAPETS/EXT MASONRY,"11,337,000",CIP,K650,257 N 6TH STREET,Brooklyn,11211,BROOKLYN ,40.715073,-73.954754,1,33,519,3062135,3023300011,North Side-South Side                                                      ,"(40.715073, -73.954754)",
P.S. 123 - MANHATTAN,M,5,FLOOD ELIMINATION,"4,815,000",CIP,M123,301 WEST 140 STREET,Manhattan,10030,MANHATTAN,40.819767,-73.944433,10,9,"22,102",1060726,1020420035,Central Harlem North-Polo Grounds                                          ,"(40.819767, -73.944433)",
THE FAMILY SCHOOL - BRONX,X,9,EXTERIOR MASONRY/ROOFS,"4,391,000",CIP,X090,1116 SHERIDAN AVENUE,Bronx,10456,BRONX    ,40.831992,-73.91796,4,16,"18,102",2002745,2024560100,East Concourse-Concourse Village                                           ,"(40.831992, -73.91796)",11/13/2017
PRE-K CENTER @ 70-24 47TH AVENUE - QUEENS,Q,24,Lease,"2,458,500",CAP,Q321,70-24 47TH AVENUE,Queens,11377,QUEENS   ,40.739014,-73.893771,2,30,489,4441128,4024450001,Elmhurst-Maspeth                                                           ,"(40.739014, -73.893771)",
P.S. 225 - BROOKLYN,K,21,FLOOD ELMNTN/ROOFS/EXTERIOR MASONRY/PARAPETS,"8,677,000",CIP,K225,1075 OCEAN VIEW AVENUE,Brooklyn,11235,BROOKLYN ,40.579737,-73.956329,13,48,"61,004",3245498,3087120056,Brighton Beach                                                             ,"(40.579737, -73.956329)",
I.S. 259 - BROOKLYN,K,20,PLANYC BOILER CONVERSION/CLIMATE CTRL,"6,758,000",CIP,K259,7305 FT HAMILTON PKWY,Brooklyn,11228,BROOKLYN ,40.62668,-74.01512,10,43,206,3148031,3059230001,Dyker Heights                                                              ,"(40.62668, -74.01512)",11/13/2017
P.S. 123 - QUEENS,Q,27,TCU REMOVAL & PLAYGROUND REDEVELOPMENT,"1,082,000",CIP,Q123,145-01 119 AVENUE,Queens,11436,QUEENS   ,40.678296,-73.79562,12,28,"18,402",4260828,4120190010,Baisley Park                                                               ,"(40.678296, -73.79562)",
FASHION INDUSTRIES VOC HS - M,M,2,ACCESSIBILITY,"3,300,000",CIP,M600,225 WEST 24 STREET,Manhattan,10011,MANHATTAN,40.745156,-73.996074,4,3,91,1014174,1007740019,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.745156, -73.996074)",11/13/2017
